Movie title,Year,Category
Midnight Cowboy,1969,Best Picture
True Grit,1969,Best Actor
The Prime of Miss Jean Brodie,1969,Best Actress
"They Shoot Horses, Don't They?",1969,Best Supporting Actor
Cactus Flower,1969,Best Supporting Actress
Midnight Cowboy,1969,Best Director
Midnight Cowboy,1969,Best Adapted Screenplay
Butch Cassidy and the Sundance Kid,1969,Best Original Screenplay
Butch Cassidy and the Sundance Kid,1969,Best Cinematography (Color)
Z,1969,Best Film Editing
Patton,1970,Best Picture
Patton,1970,Best Actor
Women in Love,1970,Best Actress
Ryan's Daughter,1970,Best Supporting Actor
Airport,1970,Best Supporting Actress
Patton,1970,Best Director
MASH,1970,Best Adapted Screenplay
Patton,1970,Best Original Screenplay
Ryan's Daughter,1970,Best Cinematography (Color)
Patton,1970,Best Film Editing
The French Connection,1971,Best Picture
The French Connection,1971,Best Actor
Klute,1971,Best Actress
The Last Picture Show,1971,Best Supporting Actor
The Last Picture Show,1971,Best Supporting Actress
The French Connection,1971,Best Director
The French Connection,1971,Best Adapted Screenplay
The Hospital,1971,Best Original Screenplay
Fiddler on the Roof,1971,Best Cinematography (Color)
The French Connection,1971,Best Film Editing
The Godfather,1972,Best Picture
The Godfather,1972,Best Actor
Cabaret,1972,Best Actress
Cabaret,1972,Best Supporting Actor
Butterflies are Free,1972,Best Supporting Actress
Cabaret,1972,Best Director
The Godfather,1972,Best Adapted Screenplay
The Candidate,1972,Best Original Screenplay
Cabaret,1972,Best Cinematography (Color)
Cabaret,1972,Best Film Editing
The Sting,1973,Best Picture
Save the Tiger,1973,Best Actor
A Touch of Class,1973,Best Actress
The Paper Chase,1973,Best Supporting Actor
Paper Moon,1973,Best Supporting Actress
The Sting,1973,Best Director
The Exorcist,1973,Best Adapted Screenplay
The Sting,1973,Best Original Screenplay
Cries and Whispers,1973,Best Cinematography (Color)
The Sting,1973,Best Film Editing
The Godfather Part II,1974,Best Picture
Harry and Tonto,1974,Best Actor
Alice Doesn't Live Here Anymore,1974,Best Actress
The Godfather Part II,1974,Best Supporting Actor
Murder on the Orient Express,1974,Best Supporting Actress
The Godfather Part II,1974,Best Director
The Godfather Part II,1974,Best Adapted Screenplay
Chinatown,1974,Best Original Screenplay
The Towering Inferno,1974,Best Cinematography (Color)
The Towering Inferno,1974,Best Film Editing
One Flew Over the Cuckoo's Nest,1975,Best Picture
One Flew Over the Cuckoo's Nest,1975,Best Actor
One Flew Over the Cuckoo's Nest,1975,Best Actress
The Sunshine Boys,1975,Best Supporting Actor
Shampoo,1975,Best Supporting Actress
One Flew Over the Cuckoo's Nest,1975,Best Director
One Flew Over the Cuckoo's Nest,1975,Best Adapted Screenplay
Dog Day Afternoon,1975,Best Original Screenplay
Barry Lyndon,1975,Best Cinematography (Color)
Jaws,1975,Best Film Editing
Rocky,1976,Best Picture
Network,1976,Best Actor
Network,1976,Best Actress
All the President's Men,1976,Best Supporting Actor
Network,1976,Best Supporting Actress
Rocky,1976,Best Director
All the President's Men,1976,Best Adapted Screenplay
Network,1976,Best Original Screenplay
Glory,1976,Best Cinematography (Color)
Rocky,1976,Best Film Editing
Annie Hall,1977,Best Picture
The Goodbye Girl,1977,Best Actor
Annie Hall,1977,Best Actress
Julia,1977,Best Supporting Actor
Julia,1977,Best Supporting Actress
Annie Hall,1977,Best Director
Julia,1977,Best Adapted Screenplay
Annie Hall,1977,Best Original Screenplay
Close Encounters of the Third Kind,1977,Best Cinematography (Color)
Star Wars,1977,Best Film Editing
The Deer Hunter,1978,Best Picture
Coming Home,1978,Best Actor
Coming Home,1978,Best Actress
The Deer Hunter,1978,Best Supporting Actor
California Suite,1978,Best Supporting Actress
The Deer Hunter,1978,Best Director
Midnight Express,1978,Best Adapted Screenplay
Coming Home,1978,Best Original Screenplay
Days of Heaven,1978,Best Cinematography (Color)
The Deer Hunter,1978,Best Film Editing
Kramer vs. Kramer,1979,Best Picture
Kramer vs. Kramer,1979,Best Actor
Norma Rae,1979,Best Actress
Being There,1979,Best Supporting Actor
Kramer vs. Kramer,1979,Best Supporting Actress
Kramer vs. Kramer,1979,Best Director
Kramer vs. Kramer,1979,Best Adapted Screenplay
Breaking Away,1979,Best Original Screenplay
Apocalypse Now,1979,Best Cinematography (Color)
All That Jazz,1979,Best Film Editing
